frame,tempo,atividade/emocao
719,00:23,triste
720,00:24,triste
721,00:24,feliz
722,00:24,feliz
723,00:24,feliz
724,00:24,feliz
725,00:24,feliz
726,00:24,feliz
727,00:24,feliz
728,00:24,feliz
729,00:24,feliz
730,00:24,feliz
731,00:24,feliz
732,00:24,feliz
733,00:24,feliz
734,00:24,feliz
735,00:24,feliz
736,00:24,feliz
737,00:24,feliz
738,00:24,feliz
739,00:24,feliz
740,00:24,feliz
741,00:24,feliz
742,00:24,feliz
743,00:24,feliz
744,00:24,feliz
745,00:24,feliz
746,00:24,feliz
747,00:24,neutro
748,00:24,neutro
749,00:24,neutro
750,00:25,feliz
751,00:25,neutro
752,00:25,neutro
753,00:25,neutro
754,00:25,neutro
755,00:25,neutro
756,00:25,neutro
757,00:25,neutro
758,00:25,neutro
759,00:25,neutro
760,00:25,neutro
761,00:25,neutro
762,00:25,neutro
763,00:25,neutro
764,00:25,neutro
765,00:25,neutro
766,00:25,feliz
767,00:25,feliz
768,00:25,feliz
769,00:25,feliz
770,00:25,feliz
771,00:25,feliz
772,00:25,feliz
773,00:25,feliz
774,00:25,feliz
775,00:25,feliz
776,00:25,feliz
777,00:25,feliz
778,00:25,feliz
779,00:25,feliz
780,00:26,feliz
781,00:26,feliz
782,00:26,feliz
783,00:26,feliz
784,00:26,feliz
785,00:26,feliz
786,00:26,feliz
787,00:26,feliz
788,00:26,feliz
789,00:26,feliz
790,00:26,feliz
791,00:26,feliz
792,00:26,feliz
793,00:26,feliz
794,00:26,feliz
795,00:26,feliz
796,00:26,feliz
797,00:26,feliz
798,00:26,feliz
799,00:26,feliz
800,00:26,feliz
801,00:26,feliz
802,00:26,feliz
803,00:26,feliz
804,00:26,feliz
805,00:26,feliz
806,00:26,feliz
807,00:26,feliz
808,00:26,feliz
809,00:26,feliz
810,00:27,feliz
811,00:27,feliz
812,00:27,feliz
813,00:27,feliz
814,00:27,feliz
815,00:27,feliz
816,00:27,feliz
817,00:27,feliz
818,00:27,feliz
819,00:27,feliz
820,00:27,feliz
821,00:27,feliz
822,00:27,feliz
823,00:27,feliz
824,00:27,feliz
825,00:27,feliz
826,00:27,feliz
827,00:27,feliz
828,00:27,feliz
829,00:27,feliz
830,00:27,feliz
831,00:27,feliz
832,00:27,feliz
833,00:27,feliz
834,00:27,feliz
835,00:27,feliz
836,00:27,feliz
837,00:27,neutro
838,00:27,feliz
839,00:27,feliz
840,00:28,feliz
841,00:28,feliz
842,00:28,neutro
843,00:28,neutro
844,00:28,neutro
845,00:28,feliz
846,00:28,feliz
847,00:28,feliz
848,00:28,feliz
849,00:28,feliz
850,00:28,feliz
851,00:28,feliz
852,00:28,feliz
853,00:28,feliz
854,00:28,feliz
855,00:28,feliz
856,00:28,feliz
857,00:28,feliz
858,00:28,feliz
859,00:28,feliz
860,00:28,feliz
861,00:28,feliz
862,00:28,feliz
863,00:28,feliz
864,00:28,feliz
865,00:28,feliz
866,00:28,feliz
867,00:28,feliz
868,00:28,feliz
869,00:28,feliz
870,00:29,feliz
871,00:29,feliz
872,00:29,feliz
873,00:29,feliz
874,00:29,feliz
875,00:29,feliz
876,00:29,feliz
877,00:29,feliz
878,00:29,feliz
879,00:29,feliz
880,00:29,feliz
881,00:29,feliz
882,00:29,feliz
883,00:29,feliz
884,00:29,feliz
885,00:29,feliz
886,00:29,feliz
887,00:29,feliz
888,00:29,feliz
889,00:29,feliz
890,00:29,feliz
891,00:29,feliz
892,00:29,feliz
893,00:29,feliz
894,00:29,feliz
895,00:29,feliz
896,00:29,feliz
897,00:29,feliz
898,00:29,feliz
899,00:29,feliz
900,00:30,feliz
901,00:30,careta
901,00:30,mao no rosto
901,00:30,mao no rosto
902,00:30,careta
902,00:30,mao no rosto
902,00:30,mao no rosto
903,00:30,careta
903,00:30,mao no rosto
903,00:30,mao no rosto
904,00:30,careta
904,00:30,mao no rosto
904,00:30,mao no rosto
905,00:30,careta
905,00:30,mao no rosto
905,00:30,mao no rosto
906,00:30,careta
906,00:30,mao no rosto
906,00:30,mao no rosto
907,00:30,careta
907,00:30,mao no rosto
907,00:30,mao no rosto
908,00:30,careta
908,00:30,mao no rosto
908,00:30,mao no rosto
909,00:30,careta
909,00:30,mao no rosto
909,00:30,mao no rosto
910,00:30,careta
910,00:30,mao no rosto
910,00:30,mao no rosto
911,00:30,careta
911,00:30,mao no rosto
911,00:30,mao no rosto
912,00:30,careta
912,00:30,mao no rosto
912,00:30,mao no rosto
913,00:30,careta
913,00:30,mao no rosto
913,00:30,mao no rosto
914,00:30,careta
914,00:30,mao no rosto
914,00:30,mao no rosto
915,00:30,careta
915,00:30,mao no rosto
915,00:30,mao no rosto
916,00:30,careta
916,00:30,mao no rosto
916,00:30,mao no rosto
917,00:30,careta
917,00:30,mao no rosto
917,00:30,mao no rosto
918,00:30,careta
918,00:30,mao no rosto
918,00:30,mao no rosto
919,00:30,careta
919,00:30,mao no rosto
919,00:30,mao no rosto
920,00:30,careta
920,00:30,mao no rosto
920,00:30,mao no rosto
921,00:30,careta
921,00:30,mao no rosto
921,00:30,mao no rosto
922,00:30,careta
922,00:30,mao no rosto
922,00:30,mao no rosto
923,00:30,careta
923,00:30,mao no rosto
923,00:30,mao no rosto
924,00:30,careta
924,00:30,mao no rosto
924,00:30,mao no rosto
925,00:30,careta
925,00:30,mao no rosto
925,00:30,mao no rosto
926,00:30,careta
926,00:30,mao no rosto
